"Period","Level","Group","GroupSize","Skills"
"2005-2009",0,24,13,"Information Ordering, Visual Color Discrimination, Social Orientation, Dependability, Integrity, Independence, Innovation, Production and Processing, Design, Psychology, Education and Training, Performing General Physical Activities, Establishing and Maintaining Interpersonal Relationships"
"2005-2009",0,26,14,"Written Comprehension, Written Expression, Fluency of Ideas, Customer and Personal Service, Engineering and Technology, Public Safety and Security, Identifying Objects, Actions, and Events, Estimating the Quantifiable Characteristics of Products, Events, or Information, Processing Information, Working with Computers, Assisting and Caring for Others, Selling or Influencing Others, Resolving Conflicts and Negotiating with Others, Performing for or Working Directly with the Public"
"2005-2009",0,33,17,"Finger Dexterity, Near Vision, Speech Recognition, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Concern for Others, Self-Control, Analytical Thinking, Sales and Marketing, Computers and Electronics, Mathematics, Chemistry, English Language, Communications and Media, Monitoring Processes, Materials, or Surroundings"
"2005-2009",0,55,10,"Memorization, Visualization, Arm-Hand Steadiness, Manual Dexterity, Trunk Strength, Night Vision, Mechanical, Getting Information, Handling and Moving Objects, Operating Vehicles, Mechanized Devices, or Equipment"
"2005-2009",0,82,24,"Perceptual Speed, Spatial Orientation, Selective Attention, Time Sharing, Control Precision, Multilimb Coordination, Response Orientation, Rate Control, Reaction Time, Wrist-Finger Speed, Speed of Limb Movement, Stamina, Extent Flexibility, Gross Body Coordination, Gross Body Equilibrium, Peripheral Vision, Depth Perception, Glare Sensitivity, Auditory Attention, Sound Localization, Physics, Geography, Controlling Machines and Processes, Repairing and Maintaining Mechanical Equipment"
"2005-2009",0,83,15,"Problem Sensitivity, Inductive Reasoning, Transportation, Judging the Qualities of Objects, Services, or People, Evaluating Information to Determine Compliance with Standards, Making Decisions and Solving Problems, Developing Objectives and Strategies, Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment, Repairing and Maintaining Electronic Equipment, Documenting/Recording Information, Coordinating the Work and Activities of Others, Developing and Building Teams, Guiding, Directing, and Motivating Subordinates, Performing Administrative Activities, Staffing Organizational Units"
"2005-2009",0,100,16,"Category Flexibility, Mathematical Reasoning, Number Facility, Speed of Closure, Flexibility of Closure, Static Strength, Explosive Strength, Dynamic Strength, Far Vision, Hearing Sensitivity, Administration and Management, Biology, Sociology and Anthropology, Medicine and Dentistry, Law and Government, Inspecting Equipment, Structures, or Materials"
"2005-2009",0,116,17,"Dynamic Flexibility, Initiative, Leadership, Stress Tolerance, Adaptability/Flexibility, Administrative, Economics and Accounting, Personnel and Human Resources, Food Production, Building and Construction, Therapy and Counseling, Foreign Language, Fine Arts, History and Archeology, Philosophy and Theology, Telecommunications, Monitoring and Controlling Resources"
"2005-2009",0,141,16,"Oral Comprehension, Oral Expression, Originality, Deductive Reasoning, Attention to Detail, Analyzing Data or Information, Thinking Creatively, Updating and Using Relevant Knowledge, Scheduling Work and Activities, Organizing, Planning, and Prioritizing Work, Interpreting the Meaning of Information for Others, Communicating with Supervisors, Peers, or Subordinates, Communicating with People Outside the Organization, Training and Teaching Others, Coaching and Developing Others, Providing Consultation and Advice to Others"
"2010-2014",0,11,16,"Written Comprehension, Written Expression, Finger Dexterity, Near Vision, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Self-Control, Speaking, Mathematics, Monitoring, Instructing, Management of Financial Resources, Customer and Personal Service, History and Archeology"
"2010-2014",0,17,16,"Oral Comprehension, Oral Expression, Originality, Attention to Detail, Coordination, Transportation, Food Production, Computers and Electronics, Design, Building and Construction, Therapy and Counseling, Education and Training, English Language, Communications and Media, Monitoring Processes, Materials, or Surroundings, Identifying Objects, Actions, and Events"
"2010-2014",0,20,14,"Deductive Reasoning, Information Ordering, Concern for Others, Social Orientation, Dependability, Integrity, Independence, Innovation, Analytical Thinking, Active Learning, Technology Design, Operation and Control, Equipment Maintenance, Foreign Language"
"2010-2014",0,40,14,"Category Flexibility, Speed of Closure, Flexibility of Closure, Static Strength, Explosive Strength, Dynamic Strength, Far Vision, Hearing Sensitivity, Operations Analysis, Equipment Selection, Programming, Judgment and Decision Making, Systems Evaluation, Administrative"
"2010-2014",0,81,16,"Problem Sensitivity, Inductive Reasoning, Mathematical Reasoning, Number Facility, Speech Recognition, Reading Comprehension, Active Listening, Writing, Complex Problem Solving, Operations Monitoring, Time Management, Management of Personnel Resources, Administration and Management, Sales and Marketing, Biology, Inspecting Equipment, Structures, or Materials"
"2010-2014",0,104,17,"Fluency of Ideas, Critical Thinking, Social Perceptiveness, Systems Analysis, Personnel and Human Resources, Production and Processing, Engineering and Technology, Psychology, Geography, Medicine and Dentistry, Fine Arts, Philosophy and Theology, Public Safety and Security, Law and Government, Telecommunications, Getting Information, Estimating the Quantifiable Characteristics of Products, Events, or Information"
"2010-2014",0,107,10,"Memorization, Visualization, Arm-Hand Steadiness, Manual Dexterity, Trunk Strength, Night Vision, Negotiation, Management of Material Resources, Mathematics, Chemistry"
"2010-2014",0,114,11,"Perceptual Speed, Selective Attention, Time Sharing, Control Precision, Rate Control, Wrist-Finger Speed, Visual Color Discrimination, Service Orientation, Installation, Mechanical, Physics"
"2010-2014",0,119,13,"Dynamic Flexibility, Initiative, Leadership, Stress Tolerance, Adaptability/Flexibility, Science, Learning Strategies, Persuasion, Troubleshooting, Repairing, Quality Control Analysis, Economics and Accounting, Judging the Qualities of Objects, Services, or People"
"2010-2014",0,127,15,"Spatial Orientation, Multilimb Coordination, Response Orientation, Reaction Time, Speed of Limb Movement, Stamina, Extent Flexibility, Gross Body Coordination, Gross Body Equilibrium, Peripheral Vision, Depth Perception, Glare Sensitivity, Auditory Attention, Sound Localization, Sociology and Anthropology"
"2015-2019",0,3,13,"Fluency of Ideas, Inductive Reasoning, Near Vision, Speech Recognition, Speaking, Mathematics, Instructing, Management of Financial Resources, Administration and Management, Economics and Accounting, Production and Processing, Biology, History and Archeology"
"2015-2019",0,11,15,"Response Orientation, Static Strength, Explosive Strength, Dynamic Strength, Dynamic Flexibility, Far Vision, Hearing Sensitivity, Auditory Attention, Persuasion, Operations Analysis, Equipment Selection, Programming, Judgment and Decision Making, Systems Evaluation, Administrative"
"2015-2019",0,37,12,"Information Ordering, Memorization, Visualization, Arm-Hand Steadiness, Manual Dexterity, Dependability, Innovation, Technology Design, Operation and Control, Mechanical, Mathematics, Foreign Language"
"2015-2019",0,74,11,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Originality, Deductive Reasoning, Attention to Detail, Customer and Personal Service, Food Production, Computers and Electronics, Building and Construction"
"2015-2019",0,80,16,"Category Flexibility, Flexibility of Closure, Initiative, Leadership, Stress Tolerance, Adaptability/Flexibility, Active Listening, Writing, Science, Learning Strategies, Operations Monitoring, Troubleshooting, Repairing, Quality Control Analysis, Time Management, Judging the Qualities of Objects, Services, or People"
"2015-2019",0,84,12,"Perceptual Speed, Time Sharing, Control Precision, Rate Control, Reaction Time, Night Vision, Negotiation, Service Orientation, Installation, Physics, Chemistry, Sociology and Anthropology"
"2015-2019",0,101,11,"Coordination, Management of Material Resources, Transportation, Design, Therapy and Counseling, Education and Training, English Language, Philosophy and Theology, Communications and Media, Monitoring Processes, Materials, or Surroundings, Identifying Objects, Actions, and Events"
"2015-2019",0,115,13,"Spatial Orientation, Multilimb Coordination, Wrist-Finger Speed, Speed of Limb Movement, Trunk Strength, Stamina, Extent Flexibility, Gross Body Coordination, Gross Body Equilibrium, Peripheral Vision, Depth Perception, Glare Sensitivity, Sound Localization"
"2015-2019",0,131,12,"Problem Sensitivity, Mathematical Reasoning, Number Facility, Speed of Closure, Selective Attention, Visual Color Discrimination, Reading Comprehension, Social Perceptiveness, Complex Problem Solving, Management of Personnel Resources, Sales and Marketing, Medicine and Dentistry"
"2015-2019",0,135,13,"Critical Thinking, Systems Analysis, Personnel and Human Resources, Engineering and Technology, Psychology, Geography, Fine Arts, Public Safety and Security, Law and Government, Telecommunications, Getting Information, Inspecting Equipment, Structures, or Materials, Estimating the Quantifiable Characteristics of Products, Events, or Information"
"2015-2019",0,139,14,"Finger Dexterity, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Concern for Others, Social Orientation, Self-Control, Integrity, Independence, Analytical Thinking, Active Learning, Monitoring, Equipment Maintenance"
"2015-2019",1,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",2,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",3,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",4,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",5,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",6,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2015-2019",7,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
