"Period","Level","Group","GroupSize","Skills"
"2015-2019",8,1,142,"NA, NA, NA, NA, Fluency of Ideas, NA, NA, NA, Inductive Reasoning, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Near Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speaking, Mathematics, NA, NA, NA, NA, NA, NA, NA, NA, NA, Instructing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Financial Resources, NA, NA, Administration and Management, NA, Economics and Accounting, NA, NA, NA, NA, Production and Processing, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, NA, NA, NA, NA, NA, NA, History and Archeology, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",0,1,16,"Problem Sensitivity, Inductive Reasoning, Mathematical Reasoning, Number Facility, Selective Attention, Time Sharing, Speech Recognition, Reading Comprehension, Complex Problem Solving, Management of Personnel Resources, Administration and Management, Economics and Accounting, Sales and Marketing, Biology, Medicine and Dentistry, Inspecting Equipment, Structures, or Materials"
"2020-2024",0,10,9,"Spatial Orientation, Multilimb Coordination, Speed of Limb Movement, Trunk Strength, Stamina, Extent Flexibility, Gross Body Coordination, Gross Body Equilibrium, Peripheral Vision"
"2020-2024",0,12,17,"Category Flexibility, Speed of Closure, Flexibility of Closure, Initiative, Leadership, Stress Tolerance, Adaptability/Flexibility, Active Listening, Writing, Science, Learning Strategies, Operations Monitoring, Troubleshooting, Repairing, Quality Control Analysis, Time Management, Judging the Qualities of Objects, Services, or People"
"2020-2024",0,19,10,"Memorization, Visualization, Arm-Hand Steadiness, Manual Dexterity, Night Vision, Coordination, Negotiation, Mechanical, Mathematics, Chemistry"
"2020-2024",0,29,10,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Attention to Detail, Customer and Personal Service, Food Production, Computers and Electronics, Building and Construction"
"2020-2024",0,32,17,"Fluency of Ideas, Critical Thinking, Social Perceptiveness, Systems Analysis, Personnel and Human Resources, Production and Processing, Engineering and Technology, Psychology, Geography, Fine Arts, History and Archeology, Philosophy and Theology, Public Safety and Security, Law and Government, Telecommunications, Getting Information, Estimating the Quantifiable Characteristics of Products, Events, or Information"
"2020-2024",0,56,14,"Perceptual Speed, Control Precision, Response Orientation, Rate Control, Reaction Time, Wrist-Finger Speed, Depth Perception, Glare Sensitivity, Auditory Attention, Sound Localization, Service Orientation, Installation, Physics, Sociology and Anthropology"
"2020-2024",0,60,13,"Static Strength, Explosive Strength, Dynamic Strength, Dynamic Flexibility, Far Vision, Hearing Sensitivity, Persuasion, Operations Analysis, Equipment Selection, Programming, Judgment and Decision Making, Systems Evaluation, Administrative"
"2020-2024",0,65,11,"Originality, Information Ordering, Management of Material Resources, Transportation, Design, Therapy and Counseling, Education and Training, English Language, Communications and Media, Monitoring Processes, Materials, or Surroundings, Identifying Objects, Actions, and Events"
"2020-2024",0,103,15,"Finger Dexterity, Near Vision, Speech Clarity, Achievement/Effort, Persistence, Cooperation, Concern for Others, Self-Control, Analytical Thinking, Speaking, Mathematics, Monitoring, Instructing, Equipment Maintenance, Management of Financial Resources"
"2020-2024",0,121,10,"Visual Color Discrimination, Social Orientation, Dependability, Integrity, Independence, Innovation, Active Learning, Technology Design, Operation and Control, Foreign Language"
"2020-2024",1,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",1,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",2,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",2,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",3,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",3,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",4,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",4,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",5,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",5,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",6,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",6,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",7,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",7,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
"2020-2024",8,0,126,"NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Spatial Orientation, NA, NA, NA, NA, NA, Multilimb Coordination, NA, NA, NA, NA, Speed of Limb Movement, NA, NA, NA, Trunk Strength, Stamina, Extent Flexibility, NA, Gross Body Coordination, Gross Body Equilibrium, NA, NA, NA, NA, Peripheral Vision, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA"
"2020-2024",8,1,133,"NA, NA, NA, NA, NA, NA, Problem Sensitivity, NA, Inductive Reasoning, NA, NA, Mathematical Reasoning, Number Facility, NA, NA, NA, NA, NA, Selective Attention, Time Sharing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Speech Recognition, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Reading Comprehension, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Complex Problem Solving, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Management of Personnel Resources, Administration and Management, NA, Economics and Accounting, Sales and Marketing, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Biology, NA, NA, NA, Medicine and Dentistry, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Inspecting Equipment, Structures, or Materials, NA, NA"
